ticker,composite,technical,fundamental,sentiment,analysis_time
AAPY,7.794361946067337,1.7943619460673377,10.0,-4.0,2025-02-14T17:19:20.566054
BUFQ,7.770449918726225,0.770449918726225,7.0,0.0,2025-02-14T17:26:57.364247
QUAL,7.769602645247588,0.7696026452475877,7.0,0.0,2025-02-14T18:11:51.924085
BUFZ,7.764970218458869,0.764970218458869,7.0,0.0,2025-02-14T17:27:19.998151
UVIX,7.741083472242625,-0.25891652775737484,8.0,0.0,2025-02-14T18:21:21.998533
BTCZ,7.739102207835151,1.739102207835151,6.0,0.0,2025-02-14T17:26:53.711483
SMI,7.729567439878546,0.7295674398785464,7.0,0.0,2025-02-14T18:15:43.934715
TMDV,7.728557548730091,0.728557548730091,7.0,0.0,2025-02-14T18:18:28.021109
XDQQ,7.7235965610607344,0.7235965610607344,7.0,0.0,2025-02-14T18:24:52.091979
YJUN,7.7053473632305245,1.705347363230524,6.0,0.0,2025-02-14T18:27:30.767123
MOTG,7.702613508942501,1.7026135089425012,6.0,0.0,2025-02-14T18:00:10.216128
XAUG,7.698007751749133,0.6980077517491331,7.0,0.0,2025-02-14T18:24:07.781983
RSBA,7.6925705132378015,0.6925705132378014,7.0,0.0,2025-02-14T18:13:02.093617
BITX,7.682637457201796,-2.3173625427982034,10.0,0.0,2025-02-14T17:24:55.593030
RSSB,7.682020121941976,0.6820201219419758,7.0,0.0,2025-02-14T18:13:15.431163
CNAV,7.671470661635326,-0.32852933836467385,8.0,0.0,2025-02-14T17:28:18.474600
QMAG,7.668977182948935,0.6689771829489353,7.0,0.0,2025-02-14T18:11:09.108350
LFAO,7.66030942352179,0.6603094235217896,7.0,0.0,2025-02-14T17:55:33.040902
PSFM,7.643838462161107,0.6438384621611072,7.0,0.0,2025-02-14T18:08:59.102299
NNOV,7.643826343207698,0.6438263432076972,7.0,0.0,2025-02-14T18:01:57.520641
SEIV,7.634225162229276,-0.3657748377707243,8.0,0.0,2025-02-14T18:14:37.016510
FEBP,7.622793507924051,1.622793507924051,6.0,0.0,2025-02-14T17:37:31.157291
WLDR,7.606842318138851,0.6068423181388504,7.0,0.0,2025-02-14T18:23:30.836485
AAPX,7.597250055054868,1.597250055054868,6.0,0.0,2025-02-14T17:19:17.745585
BUFP,7.592687308766402,0.5926873087664021,7.0,0.0,2025-02-14T17:27:06.166273
SNPV,7.591820119202616,0.591820119202616,7.0,0.0,2025-02-14T18:16:30.757600
DINT,7.590330699557219,1.5903306995572188,6.0,0.0,2025-02-14T17:30:51.419725
QMNV,7.587690480059651,0.5876904800596513,7.0,0.0,2025-02-14T18:11:26.926742
UPSD,7.586416723796157,0.5864167237961567,7.0,0.0,2025-02-14T18:20:41.234730
URAN,7.5393745408230695,-0.4606254591769307,8.0,0.0,2025-02-14T18:20:42.180471
LBO,7.528301516359473,-2.4716984836405262,10.0,0.0,2025-02-14T17:54:16.973387
MOTI,7.520562985821547,1.5205629858215475,6.0,0.0,2025-02-14T18:00:05.258995
UAUG,7.503518202184419,0.5035182021844193,7.0,0.0,2025-02-14T18:20:05.767395
NXTV,7.502140298735043,0.5021402987350427,7.0,0.0,2025-02-14T18:03:56.064401
EYLD,7.494936398187768,0.49493639818776813,7.0,0.0,2025-02-14T17:35:14.416893
OCTM,7.473266965288369,0.47326696528836937,7.0,0.0,2025-02-14T18:04:14.958360
EALT,7.451389970428438,0.4513899704284377,7.0,0.0,2025-02-14T17:32:15.893096
APRJ,7.443455598838005,1.4434555988380056,6.0,0.0,2025-02-14T17:20:47.731424
